file_name,status,stage,error_type,message,invoice_id
IT01533080675_7NPMH.xml,skipped,precheck,,Duplicato per file_name (pre-parse),2017
IT01533080675_7NPMV.xml,skipped,precheck,,Duplicato per file_name (pre-parse),2018
IT016417907022024r_00gwI.xml,skipped,precheck,,Duplicato per file_name (pre-parse),2019
IT0164179070220258_03LdP.xml,skipped,precheck,,Duplicato per file_name (pre-parse),2020
IT016417907022025y_02FSm.xml,skipped,precheck,,Duplicato per file_name (pre-parse),2021
IT01879020517A2024_bleID.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),2022
IT01879020517A2024_bmOnp.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),2023
IT01879020517A2024_c3qOj.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),2024
IT01879020517A2024_dL09I.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),2025
IT01879020517A2024_epZgg.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),2026
IT01879020517A2024_hJHcR.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),2027
IT01879020517A2024_hJHgl.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),2028
IT01879020517A2025_aRjkV.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),2029
IT01879020517A2025_b22NM.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),2031
IT01879020517A2025_bjkcF.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),2032
IT01879020517A2025_btHrr.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),2033
IT01879020517A2025_c1Jxn.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),2034
IT01879020517A2025_dGIeA.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),2035
IT01879020517A2025_f2YyP.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),2036
IT01879020517A2025_gUPC3.xml - Copia.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),2037
IT01879020517A2025_hg5kN.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),2038
IT0200275048300000_RUI4T.xml.p7m,skipped,precheck,,Duplicato per file_name (pre-parse),2039
IT02543910653_00B84.xml,skipped,precheck,,Duplicato per file_name (pre-parse),2040
